published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-06-25,208.0,209.9,205.5,206.2,-0.58,64495.0,13364291.1,0
2025-06-26,207.0,210.0,204.9,206.87,0.32,68210.0,14132921.3,0
2025-06-27,207.0,210.0,204.9,206.87,0.32,68210.0,14132921.3,0
2025-06-28,207.0,210.0,204.9,206.87,0.32,68210.0,14132921.3,0
2025-06-29,206.8,214.0,205.1,212.92,2.92,122808.0,25686743.0,0
2025-06-30,217.1,217.1,210.7,212.38,-0.25,123764.0,26304718.3,0
2025-07-01,210.8,214.0,210.8,213.39,0.48,105974.0,22551430.7,0
2025-07-02,211.6,217.9,211.6,216.84,1.62,169264.0,36528690.5,0
2025-07-03,221.1,221.1,214.5,215.87,-0.45,115735.0,24997683.9,0
2025-07-04,221.1,221.1,214.5,215.87,-0.45,115735.0,24997683.9,0
2025-07-05,221.1,221.1,214.5,215.87,-0.45,115735.0,24997683.9,0
2025-07-06,216.0,218.5,214.5,215.24,-0.29,85090.0,18365765.3,0
2025-07-07,219.5,219.5,213.6,214.6,-0.3,97497.0,20925490.3,0
2025-07-08,212.8,215.0,211.5,213.18,-0.66,41974.0,8942961.1,0
2025-07-09,211.2,216.9,211.2,215.93,1.29,93032.0,19968542.7,0
2025-07-10,217.2,224.0,216.0,223.53,3.52,476523.0,105878491.1,0
2025-07-11,217.2,224.0,216.0,223.53,3.52,476523.0,105878491.1,0
2025-07-12,217.2,224.0,216.0,223.53,3.52,476523.0,105878491.1,0
2025-07-13,228.0,237.0,228.0,232.53,4.03,470356.0,108825404.4,0
2025-07-14,227.9,233.0,222.0,223.7,-3.8,463245.0,104285615.6,0
2025-07-15,223.0,228.0,218.0,227.4,1.65,497887.0,110886708.4,0
2025-07-16,230.0,234.9,228.1,231.02,1.59,286630.0,66508091.6,0
2025-07-17,235.0,238.6,232.0,235.78,2.06,429891.0,101566743.1,0
2025-07-18,235.0,238.6,232.0,235.78,2.06,429891.0,101566743.1,0
2025-07-19,235.0,238.6,232.0,235.78,2.06,429891.0,101566743.1,0
2025-07-20,240.0,240.0,230.0,230.46,-2.26,523305.0,122345128.5,0
2025-07-21,230.5,234.0,228.0,231.21,0.33,352670.0,81351548.2,0
2025-07-22,230.1,237.6,230.1,236.83,2.43,391436.0,92107569.2,0
2025-07-23,241.5,241.5,233.4,235.63,-0.51,219359.0,51787587.0,0
