SUMMARY
Metric,Value
Initial Investment,200000.00
Final Value,589364.92
Total Profit,389364.92
Return %,194.68%
Target Reached,Yes

TRADE HISTORY
Date,Stock,Action,Qty,Price,Total_Amount,Profit_Loss,Reason
2022-07-29,LBBL,SELL,160,429.9,68784.0,14688.0,Take Profit (25% gain)
2022-07-29,PROFL,BUY,212,307.0,-65084.0,0.0,Trend Entry
2022-07-31,JOSHI,BUY,45,233.0,-10485.0,0.0,Trend Entry
2022-08-05,JBBL,SELL,179,318.0,56922.0,2344.9000000000015,Trailing Stop (7% drop)
2022-08-05,NABIL,SELL,72,819.7,59018.4,-3333.5999999999985,Trailing Stop (7% drop)
2022-08-05,PROFL,SELL,212,300.2,63642.399999999994,-1441.6000000000058,Trailing Stop (7% drop)
2022-08-05,HPPL,BUY,158,397.1,-62741.8,0.0,Trend Entry
2022-08-07,LBBL,BUY,148,425.0,-62900.0,0.0,Trend Entry
2022-08-08,HURJA,BUY,185,292.0,-54020.0,0.0,Trend Entry
2022-08-09,KKHC,SELL,259,229.3,59388.700000000004,4739.700000000004,Trailing Stop (7% drop)
2022-08-09,JOSHI,SELL,45,235.0,10575.0,90.0,Trailing Stop (7% drop)
2022-08-11,LBBL,SELL,148,386.0,57128.0,-5772.0,Trailing Stop (7% drop)
2022-08-11,HURJA,SELL,185,264.0,48840.0,-5180.0,Trailing Stop (7% drop)
2022-08-15,AKJCL,BUY,269,222.0,-59718.0,0.0,Trend Entry
2022-08-16,EBL,BUY,116,503.0,-58348.0,0.0,Trend Entry
2022-08-17,PROFL,BUY,193,300.0,-57900.0,0.0,Trend Entry
2022-08-21,HPPL,SELL,158,373.7,59044.6,-3697.2000000000044,Trailing Stop (7% drop)
2022-08-21,KKHC,BUY,253,232.9,-58923.700000000004,0.0,Trend Entry
2022-08-28,AKJCL,SELL,269,207.0,55683.0,-4035.0,Trailing Stop (7% drop)
2022-08-28,KKHC,SELL,253,208.0,52624.0,-6299.700000000004,Trailing Stop (7% drop)
2022-08-31,PROFL,SELL,193,288.0,55584.0,-2316.0,Trailing Stop (7% drop)
2022-09-20,EBL,SELL,116,471.6,54705.600000000006,-3642.399999999994,Trailing Stop (7% drop)
2022-10-12,NABIL,BUY,68,794.0,-53992.0,0.0,Trend Entry
2022-10-17,EBL,BUY,108,504.0,-54432.0,0.0,Trend Entry
2022-10-20,ADBL,BUY,172,316.0,-54352.0,0.0,Trend Entry
2022-10-23,SANIMA,BUY,208,263.4,-54787.2,0.0,Trend Entry
2022-11-23,MEGA,SELL,343,220.0,75460.0,-5831.0,Trailing Stop (7% drop)
2022-11-23,NHPC,BUY,367,204.2,-74941.4,0.0,Trend Entry
2022-11-29,EBL,SELL,108,471.0,50868.0,-3564.0,Trailing Stop (7% drop)
2022-11-29,MFIL,BUY,118,443.9,-52380.2,0.0,Trend Entry
2022-12-05,SANIMA,SELL,208,242.0,50336.0,-4451.199999999997,Trailing Stop (7% drop)
2022-12-05,CIT,BUY,26,1900.0,-49400.0,0.0,Trend Entry
2022-12-11,NABIL,SELL,68,846.0,57528.0,3536.0,Trailing Stop (7% drop)
2022-12-11,MFIL,SELL,118,411.1,48509.8,-3870.399999999994,Trailing Stop (7% drop)
2022-12-11,LICN,BUY,49,1410.0,-69090.0,0.0,Trend Entry
2022-12-13,JOSHI,BUY,201,188.7,-37928.7,0.0,Trend Entry
2022-12-18,NHPC,SELL,367,190.0,69730.0,-5211.399999999994,Trailing Stop (7% drop)
2022-12-29,DHPL,BUY,334,209.0,-69806.0,0.0,Trend Entry
2023-01-09,JOSHI,SELL,201,240.9,48420.9,10492.200000000004,Take Profit (25% gain)
2023-01-09,EDBL,BUY,131,370.0,-48470.0,0.0,Trend Entry
2023-01-19,LICN,SELL,49,1530.0,74970.0,5880.0,Trailing Stop (7% drop)
2023-01-19,HPPL,BUY,229,327.0,-74883.0,0.0,Trend Entry
2023-01-23,ADBL,SELL,172,312.1,53681.200000000004,-670.7999999999956,Trailing Stop (7% drop)
2023-01-23,AKJCL,BUY,230,233.0,-53590.0,0.0,Trend Entry
2023-01-29,EDBL,SELL,131,345.0,45195.0,-3275.0,Trailing Stop (7% drop)
2023-01-29,MFIL,BUY,92,488.0,-44896.0,0.0,Trend Entry
2023-01-30,CIT,SELL,26,2061.0,53586.0,4186.0,Trailing Stop (7% drop)
2023-01-30,JOSHI,BUY,204,264.0,-53856.0,0.0,Trend Entry
2023-02-02,MFIL,SELL,92,451.3,41519.6,-3376.4000000000015,Trailing Stop (7% drop)
2023-02-05,HPPL,SELL,229,326.4,74745.59999999999,-137.40000000000873,Trailing Stop (7% drop)
2023-02-05,AKJCL,SELL,230,235.0,54050.0,460.0,Trailing Stop (7% drop)
2023-02-06,NICA,BUY,91,828.0,-75348.0,0.0,Trend Entry
2023-02-07,LBBL,BUY,214,367.0,-78538.0,0.0,Trend Entry
2023-02-08,EDBL,BUY,46,361.8,-16642.8,0.0,Trend Entry
2023-02-15,JOSHI,SELL,204,291.9,59547.6,5691.5999999999985,Trailing Stop (7% drop)
2023-02-16,DHPL,SELL,334,228.0,76152.0,6346.0,Trailing Stop (7% drop)
2023-02-16,EDBL,SELL,46,343.0,15778.0,-864.7999999999993,Trailing Stop (7% drop)
